id,название,иконка,редкость,цена,клеток,форма_бокс,форма,контейнер,слотов_внутри,только_крафт,в_магазине,класс,теги,кд_сек,стамина,урон_стат,защита_стат,хп_стат,гнёзда,золото_раунд,мин_раунд_магазин,типы_эффектов,типы_мета_эффектов,триггеры,механики_боя,механики_магазина,синергий,синергии,описание,подсказки_билда,оценка_силы,сила_на_клетку,цена_на_клетку,норма_сила_клетка_редкость,отклонение_от_нормы_редкости,отклонение_от_глоб_нормы
banana,Банан,🍌,common,3,1,1×1,1×1,нет,,нет,да,,food; nature,5,0,0,0,0,0,0,,periodic,,passive,periodic @passive int=5,,0,,Каждые 5с: +4 HP и +1 выносливости.,,5.4,5.4,3,5.5,0.982,0.643
bandage,Бинт,🩹,common,1,1,1×1,1×1,нет,,нет,да,,utility; food,3,0,0,0,0,0,0,,heal,,,heal v=3,,0,,,,4.1,4.1,1,5.5,0.745,0.488
shiny_shell,Блестящая раковина,🐚,common,2,1,1×1,1×1,нет,,нет,да,,accessory; holy; nature,5,0,0,0,0,0,0,,healPerTag; periodic,,passive,healPerTag @passive v=3 tag=holy | periodic @passive int=5,,0,,Каждые 5с: +5 HP и +3 за соседний святой предмет.,,5.2,5.2,2,5.5,0.945,0.619
the_lovers,Влюблённые,🃏💕,common,3,1,1×1,1×1,нет,,да,нет,,card; craft,3,0,0,0,0,0,0,,heal; buffTimed,,battle_start,heal v=4 | buffTimed v=0.25 stat=damage | heal @battle_start v=3,,0,,В начале боя: +3 HP.,,16,16,3,5.5,2.909,1.905
wooden_sword,Деревянный меч,🗡️🪵,common,3,2,1×2,1×2 (2 кл.),нет,,нет,да,rogue,weapon; melee; craft,1.4,1,2,0,0,1,0,,damage; onHitCapBonus,,on_hit,damage v=2 rng=1-3 | onHitCapBonus @on_hit v=1 ch=25%,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,25% +1 урона (до 2).,,13.7,6.85,1.5,5.5,1.245,0.815
wooden_buckler,Деревянный щиток,🛡️🪵,common,4,2,2×1,2×1 (2 кл.),нет,,нет,да,,shield; armor,3,0,0,0,0,1,0,,block; onDefend,,passive,block v=5 | onDefend @passive ch=30%,,0,,"При блоке/уклонении (30%): −7 урона, −0.3 выносливости противнику.",,11.3,5.65,2,5.5,1.027,0.673
iron_patch,Железная заплатка,🔩,common,3,2,1×2,1×2 (2 кл.),нет,,нет,да,,utility; armor,0,0,0,0,0,0,0,,passiveDefense,,passive,passiveDefense @passive v=2,,0,,,,2.7,1.35,1.5,5.5,0.245,0.161
iron_helmet,Железный шлем,⛑️,common,2,2,1×2,1×2 (2 кл.),нет,,нет,да,,armor,4,0,0,3,0,0,0,,passiveDefense; block,,passive,passiveDefense @passive v=3 | block v=4,,0,,,,12.3,6.15,1,5.5,1.118,0.732
iron_shield,Железный щит,🛡️,common,3,2,2×1,2×1 (2 кл.),нет,,нет,да,,armor; shield,3,0,0,0,0,0,0,,block,,,block v=5,,1,shield_weapon_buff strong →weapon +grantBlockBuff:3,,,9.2,4.6,1.5,5.5,0.836,0.548
stone,Камень,🪨,common,1,1,1×1,1×1,нет,,нет,да,,accessory; nature,4,0,3,0,0,0,0,,damage; activationLimit; destroyFoeStacks,,passive; on_hit,damage v=3 rng=2-4 | activationLimit @passive | destroyFoeStacks @on_hit v=4,,0,,1 бросок за бой. При попадании: уничтожить 4 стака противника.,,6.9,6.9,1,5.5,1.255,0.821
